,beer,style_name
311,The Collingwood Brewery: Downhill Pale Ale,pale ale
312,The Collingwood Brewery: 3-point Saison,Strong Ale
313,Unibroue: 1837,belgian
314,Unibroue: Ephemere Strawberry & Rhubarb,fruit beer
315,Unibroue: Audaciter,belgian
316,Unibroue: Éphémère Elderberry,fruit beer
317,Unibroue: Ephémère Cranberry,fruit beer
318,Unibroue: Éphémère Cherry,fruit beer
319,Unibroue: Éphémère Cassis,fruit beer
320,Unibroue: Éphémère Blueberry,fruit beer
321,Unibroue: Éphémère Blackcurrant,wheat
322,Unibroue: Éphémère Apple,wheat
323,Unibroue: Eau Bénite,belgian
324,Unibroue: Éphémère Pear,fruit beer
325,Unibroue: Blonde De L’Enfer,belgian
326,Unibroue: Ale Gateau Foret-noire,belgian
327,Unibroue: Blanche de Chambly,wheat
328,Unibroue: Don De Dieu,belgian
329,Unibroue: Blonde de Chambly,belgian
330,Unibroue: À Tout Le Monde,belgian
331,Unibroue: A Tout Le Monde - Megadeth,belgian
332,Wellington Brewery: Helles Bock,browns
333,Wellington Brewery: Iron Duke,Strong Ale
334,Wellington Brewery: Bewitched Belgian,Strong Ale
335,À la Fût: Hopfenweisse,wheat
336,À la Fût: Cuvée Houblonée I,pale ale
337,À la Fût: À La Belge Triple,belgian
